School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach_PCTL,Year
Milton - Cunningham School,1890007,ELA,         193,71,          37,14,         156,57,          71,26,           9,3,         273,99,509.9,49.1,          85,,2021
Milton - Cunningham School,1890007,MATH,         168,61,          20,7,         148,54,          80,29,          26,9,         274,99,503.2,58.5,          86,,2021
Milton - Cunningham School,1890007,SCI,          56,62,           7,8,          49,54,          31,34,           3,3,          90,99,507.8,,,,2021
Milton - Glover,1890010,ELA,         213,72,          45,15,         168,57,          74,25,           9,3,         296,100,510.1,44.8,          92,,2021
Milton - Glover,1890010,MATH,         198,67,          41,14,         157,53,          77,26,          21,7,         296,100,506.6,39.9,          92,,2021
Milton - Glover,1890010,SCI,          69,74,          10,11,          59,63,          19,20,           5,5,          93,100,507.6,,,,2021
Milton - Tucker,1890020,ELA,         116,58,          25,12,          91,45,          70,35,          15,7,         201,98,502.6,38.8,          54,,2021
Milton - Tucker,1890020,MATH,          85,43,          13,7,          72,36,          90,45,          25,13,         200,97,495.2,38.6,          54,,2021
Milton - Tucker,1890020,SCI,          33,58,           7,12,          26,46,          21,37,           3,5,          57,98,504.5,,,,2021
Mohawk Trail - Buckland-Shelburne Regional,7170005,ELA,          60,52,           6,5,          54,47,          45,39,          10,9,         115,85,500.7,39.7,          51,,2021
Mohawk Trail - Buckland-Shelburne Regional,7170005,MATH,          35,30,           1,1,          34,29,          57,49,          24,21,         116,86,488.5,18.0,          52,,2021
Mohawk Trail - Buckland-Shelburne Regional,7170005,SCI,          11,42,           0,0,          11,42,          10,38,           5,19,          26,78,490.6,,,,2021
Mohawk Trail - Colrain Central,7170010,ELA,          17,55,           3,10,          14,45,          11,35,           3,10,          31,90,500.4,52.0,          21,,2021
Mohawk Trail - Colrain Central,7170010,MATH,           7,23,           2,6,           5,16,          17,55,           7,23,          31,90,490.5,35.0,          21,,2021
Mohawk Trail - Colrain Central,7170010,SCI,           7,58,           0,0,           7,58,           3,25,           2,17,          12,87,498.6,,,,2021
Mohawk Trail - Mohawk Trail Regional School,7170505,ELA,          24,30,           2,3,          22,28,          38,48,          18,23,          80,67,487.0,30.5,          79,,2021
Mohawk Trail - Mohawk Trail Regional School,7170505,MATH,          11,14,           1,1,          10,13,          47,60,          20,26,          78,65,479.7,22.6,          76,,2021
Mohawk Trail - Mohawk Trail Regional School,7170505,SCI,           8,25,           2,6,           6,19,          21,66,           3,9,          32,49,492.6,,,,2021
Mohawk Trail - Sanderson Academy,7170020,ELA,          22,39,           1,2,          21,38,          30,54,           4,7,          56,85,495.7,24.9,          24,,2021
Mohawk Trail - Sanderson Academy,7170020,MATH,          14,26,           0,0,          14,26,          33,61,           7,13,          54,82,489.2,19.4,          24,,2021
Monomoy Regional School District - Chatham Elementary School,7120001,ELA,          41,60,           7,10,          34,50,          18,26,           9,13,          68,97,506.7,,,,2021
Monomoy Regional School District - Chatham Elementary School,7120001,MATH,          33,49,           4,6,          29,43,          23,34,          12,18,          68,97,498.2,,,,2021
Monomoy Regional School District - Harwich Elementary School,7120002,ELA,         107,52,          13,6,          94,46,          83,40,          16,8,         206,100,500.4,,,,2021
Monomoy Regional School District - Harwich Elementary School,7120002,MATH,          78,38,          10,5,          68,33,          86,42,          42,20,         206,100,490.9,,,,2021
Monomoy Regional School District - Monomoy Regional High School,7120515,ELA,          68,45,           7,5,          61,40,          76,50,           8,5,         152,86,498.6,29.5,         142,,2021
Monomoy Regional School District - Monomoy Regional High School,7120515,MATH,          60,39,           1,1,          59,39,          77,51,          15,10,         152,86,493.5,25.1,         142,,2021
Monomoy Regional School District - Monomoy Regional High School,7120515,SCI,          68,45,           5,3,          63,42,          73,48,          10,7,         151,86,498.1,,,,2021
Monomoy Regional School District - Monomoy Regional Middle School,7120315,ELA,         212,52,          39,10,         173,43,         144,35,          50,12,         406,92,500.5,38.9,         377,,2021
Monomoy Regional School District - Monomoy Regional Middle School,7120315,MATH,         202,50,          29,7,         173,43,         158,39,          42,10,         402,92,499.8,47.4,         373,,2021
Monomoy Regional School District - Monomoy Regional Middle School,7120315,SCI,          77,59,          15,11,          62,47,          41,31,          13,10,         131,89,504.8,,,,2021
Monson - Granite Valley School,1910030,ELA,         137,52,          19,7,         118,45,          96,37,          29,11,         262,99,499.4,30.6,         133,,2021
Monson - Granite Valley School,1910030,MATH,          46,18,           1,0,          45,17,         149,57,          67,26,         262,99,482.2,16.0,         132,,2021
Monson - Granite Valley School,1910030,SCI,          38,54,           4,6,          34,48,          23,32,          10,14,          71,99,498.8,,,,2021
Monson - Monson High School,1910505,ELA,          34,28,           4,3,          30,25,          60,50,          26,22,         120,96,490.7,28.7,         113,,2021
Monson - Monson High School,1910505,MATH,          28,23,           0,0,          28,23,          71,59,          21,18,         120,96,485.9,31.2,         112,,2021
Monson - Monson High School,1910505,SCI,          13,29,           0,0,          13,29,          28,62,           4,9,          45,100,490.3,,,,2021
Mount Greylock - Lanesborough Elementary,7150005,ELA,          61,66,           7,8,          54,58,          29,31,           3,3,          93,97,504.6,55.1,          43,,2021
Mount Greylock - Lanesborough Elementary,7150005,MATH,          50,54,           7,8,          43,46,          36,39,           7,8,          93,97,501.7,63.2,          43,,2021
Mount Greylock - Lanesborough Elementary,7150005,SCI,           9,43,           2,10,           7,33,          10,48,           2,10,          21,95,499.3,,,,2021
Mount Greylock - Mt Greylock Regional High,7150505,ELA,         101,65,          23,15,          78,50,          41,26,          13,8,         155,99,507.6,41.0,         138,,2021
Mount Greylock - Mt Greylock Regional High,7150505,MATH,          70,45,          16,10,          54,35,          68,44,          18,12,         156,99,499.8,31.3,         140,,2021
Mount Greylock - Mt Greylock Regional High,7150505,SCI,          35,52,           6,9,          29,43,          28,42,           4,6,          67,97,502.7,,,,2021
Mount Greylock - Williamstown Elementary,7150010,ELA,         162,74,          39,18,         123,56,          42,19,          14,6,         218,99,509.4,39.3,         113,,2021
Mount Greylock - Williamstown Elementary,7150010,MATH,         138,64,          25,12,         113,52,          66,30,          13,6,         217,98,506.8,40.5,         112,,2021
Mount Greylock - Williamstown Elementary,7150010,SCI,          39,63,           7,11,          32,52,          15,24,           8,13,          62,98,503.5,,,,2021
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,ELA,         502,65,         114,15,         388,50,         245,32,          26,3,         773,99,508.0,46.4,         484,,2021
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,MATH,         439,57,          73,9,         366,48,         287,37,          44,6,         770,99,503.7,44.3,         480,,2021
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,SCI,         104,48,          10,5,          94,43,          97,44,          17,8,         218,99,497.1,,,,2021
Nahant - Johnson,1960010,ELA,          42,60,           8,11,          34,49,          24,34,           4,6,          70,97,504.6,25.2,          32,,2021
Nahant - Johnson,1960010,MATH,          28,40,           5,7,          23,33,          33,47,           9,13,          70,97,495.6,31.4,          32,,2021
Nahant - Johnson,1960010,SCI,           7,44,           1,6,           6,38,           6,38,           3,19,          16,84,497.3,,,,2021
Nantucket - Cyrus Peirce,1970010,ELA,         149,37,          24,6,         125,31,         177,44,          78,19,         404,99,492.6,40.6,         340,,2021
Nantucket - Cyrus Peirce,1970010,MATH,          78,19,           6,1,          72,18,         229,57,          95,24,         402,99,484.5,31.5,         337,,2021
Nantucket - Cyrus Peirce,1970010,SCI,          48,40,           6,5,          42,35,          59,50,          12,10,         119,98,494.1,,,,2021
Nantucket - Nantucket Intermediate School,1970020,ELA,         116,39,          10,3,         106,35,         151,51,          32,11,         299,98,493.1,39.0,          96,,2021
Nantucket - Nantucket Intermediate School,1970020,MATH,          59,20,           4,1,          55,18,         160,54,          80,27,         299,98,482.1,30.5,          96,,2021
Nantucket - Nantucket Intermediate School,1970020,SCI,          42,38,           3,3,          39,35,          51,46,          17,15,         110,98,493.4,,,,2021
Narragansett - Narragansett Middle,7200305,ELA,         109,34,           7,2,         102,32,         145,45,          65,20,         319,99,489.9,31.5,         313,,2021
Narragansett - Narragansett Middle,7200305,MATH,          80,25,           8,3,          72,23,         182,57,          58,18,         320,99,488.6,37.8,         314,,2021
Narragansett - Narragansett Middle,7200305,SCI,          39,41,           5,5,          34,36,          40,43,          15,16,          94,96,494.9,,,,2021
Narragansett - Narragansett Regional High,7200505,ELA,          36,32,           3,3,          33,29,          65,58,          12,11,         113,97,494.0,42.1,         112,,2021
Narragansett - Narragansett Regional High,7200505,MATH,          24,21,           0,0,          24,21,          74,65,          16,14,         114,98,486.5,19.2,         113,,2021
Narragansett - Narragansett Regional High,7200505,SCI,          41,42,           3,3,          38,39,          46,47,          11,11,          98,100,494.5,,,,2021
Narragansett - Templeton Elementary School,7200020,ELA,          80,38,           7,3,          73,35,         107,51,          22,11,         209,100,493.3,,,,2021
Narragansett - Templeton Elementary School,7200020,MATH,          48,23,           3,1,          45,22,         114,55,          47,22,         209,100,485.1,,,,2021
Nashoba - Center School,7250020,ELA,         171,78,          51,23,         120,55,          46,21,           3,1,         220,99,514.8,43.2,          74,,2021
Nashoba - Center School,7250020,MATH,         130,59,          19,9,         111,50,          81,37,           9,4,         220,99,503.6,29.1,          74,,2021
Nashoba - Center School,7250020,SCI,          46,61,          11,15,          35,47,          27,36,           2,3,          75,100,506.8,,,,2021
Nashoba - Florence Sawyer School,7250025,ELA,         324,69,          69,15,         255,55,         131,28,          12,3,         467,99,509.5,35.5,         317,,2021
Nashoba - Florence Sawyer School,7250025,MATH,         269,57,          33,7,         236,50,         184,39,          15,3,         468,99,503.6,32.8,         318,,2021
Nashoba - Florence Sawyer School,7250025,SCI,         107,64,          16,10,          91,54,          55,33,           6,4,         168,99,506.2,,,,2021
Nashoba - Hale,7250310,ELA,         187,66,          33,12,         154,54,          83,29,          13,5,         283,98,508.0,39.7,         278,,2021
Nashoba - Hale,7250310,MATH,         167,59,          30,11,         137,49,          96,34,          19,7,         282,98,504.8,33.1,         278,,2021
Nashoba - Hale,7250310,SCI,          60,75,          13,16,          47,59,          19,24,           1,1,          80,100,511.6,,,,2021
Nashoba - Luther Burbank Middle School,7250305,ELA,         137,59,          35,15,         102,44,          71,31,          23,10,         231,99,506.6,44.1,         214,,2021
Nashoba - Luther Burbank Middle School,7250305,MATH,         121,52,          12,5,         109,47,          92,40,          19,8,         232,99,501.9,45.4,         215,,2021
Nashoba - Luther Burbank Middle School,7250305,SCI,          45,69,          16,25,          29,45,          17,26,           3,5,          65,99,515.4,,,,2021
Nashoba - Mary Rowlandson Elementary,7250010,ELA,         127,57,          19,8,         108,48,          82,37,          15,7,         224,99,502.8,33.4,          62,,2021
Nashoba - Mary Rowlandson Elementary,7250010,MATH,          77,34,           9,4,          68,30,         119,53,          28,13,         224,99,492.1,26.2,          62,,2021
Nashoba - Mary Rowlandson Elementary,7250010,SCI,          36,53,           6,9,          30,44,          28,41,           4,6,          68,100,500.2,,,,2021
Natick - Bennett-Hemenway,1980005,ELA,         158,74,          27,13,         131,62,          47,22,           8,4,         213,98,510.6,,,,2021
Natick - Bennett-Hemenway,1980005,MATH,         118,55,          19,9,          99,46,          81,38,          14,7,         213,98,502.7,,,,2021
Natick - Brown,1980010,ELA,         123,71,          22,13,         101,58,          40,23,          11,6,         174,99,509.3,,,,2021
Natick - Brown,1980010,MATH,         100,57,          22,13,          78,45,          62,36,          12,7,         174,99,503.3,,,,2021
Natick - J F Kennedy Middle School,1980305,ELA,         497,64,         118,15,         379,48,         223,29,          62,8,         782,99,506.8,42.8,         750,,2021
Natick - J F Kennedy Middle School,1980305,MATH,         427,55,          79,10,         348,45,         304,39,          50,6,         781,99,503.2,36.7,         749,,2021
Natick - J F Kennedy Middle School,1980305,SCI,         240,68,          44,12,         196,55,          97,27,          18,5,         355,99,507.2,,,,2021
Natick - Johnson,1980031,ELA,          64,71,           7,8,          57,63,          24,27,           2,2,          90,95,508.0,,,,2021
Natick - Johnson,1980031,MATH,          55,61,           8,9,          47,52,          31,34,           4,4,          90,95,504.1,,,,2021
Natick - Lilja Elementary,1980035,ELA,         100,68,          13,9,          87,59,          43,29,           4,3,         147,99,507.2,,,,2021
Natick - Lilja Elementary,1980035,MATH,          57,39,           5,3,          52,35,          71,48,          19,13,         147,99,494.1,,,,2021
Natick - Memorial,1980043,ELA,         119,74,          26,16,          93,58,          40,25,           1,1,         160,100,511.3,,,,2021
Natick - Memorial,1980043,MATH,         101,63,          16,10,          85,53,          53,33,           6,4,         160,100,505.7,,,,2021
Natick - Wilson Middle,1980310,ELA,         541,64,         136,16,         405,48,         249,29,          60,7,         850,99,507.7,44.2,         825,,2021
Natick - Wilson Middle,1980310,MATH,         470,55,          82,10,         388,46,         318,37,          61,7,         849,99,502.5,38.4,         825,,2021
Natick - Wilson Middle,1980310,SCI,         287,68,          61,15,         226,54,         107,25,          26,6,         420,99,508.1,,,,2021
Nauset - Nauset Regional Middle,6600305,ELA,         232,48,          36,7,         196,40,         200,41,          55,11,         487,88,499.7,33.2,         452,,2021
Nauset - Nauset Regional Middle,6600305,MATH,         170,35,           9,2,         161,33,         258,53,          56,12,         484,87,492.7,25.8,         449,,2021
Nauset - Nauset Regional Middle,6600305,SCI,          55,39,          11,8,          44,31,          75,53,          12,8,         142,79,495.9,,,,2021
Needham - Broadmeadow,1990005,ELA,         209,82,          48,19,         161,63,          42,16,           4,2,         255,98,514.8,52.9,          89,,2021
Needham - Broadmeadow,1990005,MATH,         162,64,          28,11,         134,53,          81,32,          10,4,         253,97,506.1,51.1,          88,,2021
Needham - Broadmeadow,1990005,SCI,          59,65,          12,13,          47,52,          30,33,           2,2,          91,99,508.1,,,,2021
Needham - High Rock School,1990410,ELA,         279,73,          98,26,         181,48,          81,21,          21,6,         381,98,514.6,53.1,         357,,2021
Needham - High Rock School,1990410,MATH,         232,61,          38,10,         194,51,         126,33,          21,6,         379,98,505.5,41.2,         354,,2021
Needham - John Eliot,1990020,ELA,         137,67,          34,17,         103,50,          61,30,           6,3,         204,98,508.1,54.2,          67,,2021
Needham - John Eliot,1990020,MATH,         112,55,          22,11,          90,44,          73,36,          19,9,         204,98,501.1,54.2,          67,,2021
Needham - John Eliot,1990020,SCI,          42,61,           9,13,          33,48,          25,36,           2,3,          69,97,506.5,,,,2021
Needham - Newman Elementary,1990050,ELA,         210,72,          46,16,         164,56,          77,26,           6,2,         293,96,510.1,55.0,          92,,2021
Needham - Newman Elementary,1990050,MATH,         145,49,          30,10,         115,39,         123,42,          25,9,         293,96,499.7,46.5,          92,,2021
Needham - Newman Elementary,1990050,SCI,          44,46,           4,4,          40,42,          47,49,           5,5,          96,97,500.3,,,,2021
Needham - Pollard Middle,1990405,ELA,         603,71,         134,16,         469,55,         202,24,          44,5,         849,95,511.0,43.5,         799,,2021
Needham - Pollard Middle,1990405,MATH,         605,71,         149,18,         456,54,         205,24,          39,5,         849,95,511.4,50.5,         799,,2021
Needham - Pollard Middle,1990405,SCI,         267,67,          92,23,         175,44,         115,29,          14,4,         396,98,510.3,,,,2021
Needham - Sunita L. Williams Elementary,1990035,ELA,         190,73,          47,18,         143,55,          58,22,          11,4,         259,99,511.5,64.7,          75,,2021
Needham - Sunita L. Williams Elementary,1990035,MATH,         154,59,          35,14,         119,46,          80,31,          25,10,         259,99,504.4,61.5,          76,,2021
Needham - Sunita L. Williams Elementary,1990035,SCI,          57,68,           7,8,          50,60,          23,27,           4,5,          84,98,506.1,,,,2021
Needham - William Mitchell,1990040,ELA,         175,74,          37,16,         138,58,          55,23,           7,3,         237,97,510.2,47.3,          83,,2021
Needham - William Mitchell,1990040,MATH,         152,64,          21,9,         131,55,          65,27,          21,9,         238,97,503.8,46.8,          83,,2021
Needham - William Mitchell,1990040,SCI,          51,62,           9,11,          42,51,          23,28,           8,10,          82,92,505.5,,,,2021
Neighborhood House Charter (District) - Neighborhood House Charter School,4440205,ELA,         111,30,          13,4,          98,27,         174,48,          81,22,         366,96,489.3,34.0,         248,,2021
Neighborhood House Charter (District) - Neighborhood House Charter School,4440205,MATH,          67,18,           2,1,          65,18,         197,53,         106,29,         370,97,481.8,32.9,         253,,2021
Neighborhood House Charter (District) - Neighborhood House Charter School,4440205,SCI,          19,18,           0,0,          19,18,          59,56,          27,26,         105,95,484.3,,,,2021
New Bedford - Abraham Lincoln,2010095,ELA,         125,40,           5,2,         120,38,         146,47,          41,13,         312,100,492.2,27.6,          99,,2021
New Bedford - Abraham Lincoln,2010095,MATH,          91,29,           6,2,          85,27,         155,50,          66,21,         312,100,486.3,26.3,          99,,2021
New Bedford - Abraham Lincoln,2010095,SCI,          22,22,           1,1,          21,21,          55,54,          24,24,         101,100,484.1,,,,2021
New Bedford - Alfred J Gomes,2010063,ELA,          53,22,           5,2,          48,20,         127,53,          58,24,         238,98,484.3,30.3,          56,,2021
New Bedford - Alfred J Gomes,2010063,MATH,          25,11,           1,0,          24,10,         123,52,          90,38,         238,98,475.6,34.7,          58,,2021
New Bedford - Alfred J Gomes,2010063,SCI,           9,12,           1,1,           8,10,          34,44,          34,44,          77,98,476.0,,,,2021
New Bedford - Betsey B Winslow,2010140,ELA,          50,57,           9,10,          41,47,          29,33,           9,10,          88,99,502.8,51.4,          21,,2021
New Bedford - Betsey B Winslow,2010140,MATH,          32,36,           7,8,          25,28,          40,45,          16,18,          88,99,491.1,31.5,          21,,2021
New Bedford - Betsey B Winslow,2010140,SCI,           9,43,           0,0,           9,43,           7,33,           5,24,          21,100,490.2,,,,2021
New Bedford - Carlos Pacheco,2010105,ELA,          45,26,           5,3,          40,23,          91,52,          40,23,         176,98,486.7,28.7,          63,,2021
New Bedford - Carlos Pacheco,2010105,MATH,          30,17,           0,0,          30,17,          71,40,          75,43,         176,98,475.7,20.8,          63,,2021
New Bedford - Carlos Pacheco,2010105,SCI,          14,21,           0,0,          14,21,          25,37,          29,43,          68,94,476.8,,,,2021
New Bedford - Casimir Pulaski,2010123,ELA,         117,47,           9,4,         108,43,         110,44,          24,10,         251,97,495.8,34.7,          76,,2021
New Bedford - Casimir Pulaski,2010123,MATH,          70,28,           7,3,          63,25,         120,48,          61,24,         251,97,486.5,24.1,          77,,2021
New Bedford - Casimir Pulaski,2010123,SCI,          23,30,           3,4,          20,26,          36,47,          18,23,          77,96,487.9,,,,2021
New Bedford - Charles S Ashley,2010010,ELA,          35,43,           5,6,          30,37,          33,41,          13,16,          81,100,495.5,25.9,          30,,2021
New Bedford - Charles S Ashley,2010010,MATH,          25,31,           3,4,          22,27,          44,54,          12,15,          81,100,490.9,19.2,          30,,2021
New Bedford - Charles S Ashley,2010010,SCI,           6,19,           0,0,           6,19,          19,59,           7,22,          32,100,481.7,,,,2021
New Bedford - Elizabeth Carter Brooks,2010015,ELA,          50,53,          10,11,          40,42,          35,37,          10,11,          95,100,500.7,31.6,          21,,2021
New Bedford - Elizabeth Carter Brooks,2010015,MATH,          28,29,           1,1,          27,28,          53,56,          14,15,          95,99,489.2,14.3,          21,,2021
New Bedford - Elizabeth Carter Brooks,2010015,SCI,           2,10,           0,0,           2,10,          15,71,           4,19,          21,100,480.1,,,,2021
New Bedford - Ellen R Hathaway,2010075,ELA,          34,37,           1,1,          33,36,          42,46,          15,16,          91,100,490.8,26.5,          29,,2021
New Bedford - Ellen R Hathaway,2010075,MATH,          34,37,           5,5,          29,32,          39,43,          18,20,          91,100,491.9,26.3,          29,,2021
New Bedford - Ellen R Hathaway,2010075,SCI,           6,19,           2,6,           4,13,          20,65,           5,16,          31,100,485.6,,,,2021
New Bedford - Elwyn G Campbell,2010020,ELA,          33,32,           1,1,          32,31,          51,50,          19,18,         103,99,489.4,,          18,,2021
New Bedford - Elwyn G Campbell,2010020,MATH,          21,20,           1,1,          20,19,          39,38,          43,42,         103,99,477.3,,          18,,2021
New Bedford - Elwyn G Campbell,2010020,SCI,           5,26,           1,5,           4,21,           9,47,           5,26,          19,100,485.0,,,,2021
New Bedford - Hayden/McFadden,2010078,ELA,          46,16,           2,1,          44,15,         145,51,          95,33,         286,99,480.2,29.7,          65,,2021
New Bedford - Hayden/McFadden,2010078,MATH,          17,6,           0,0,          17,6,         113,40,         156,55,         286,99,468.0,30.4,          65,,2021
New Bedford - Hayden/McFadden,2010078,SCI,           7,8,           0,0,           7,8,          34,39,          46,53,          87,99,471.2,,,,2021
New Bedford - Irwin M. Jacobs Elementary School,2010070,ELA,          29,23,           2,2,          27,22,          66,53,          30,24,         125,98,483.0,24.5,          38,,2021
New Bedford - Irwin M. Jacobs Elementary School,2010070,MATH,           9,7,           1,1,           8,6,          49,40,          66,53,         124,99,468.9,21.2,          38,,2021
New Bedford - Irwin M. Jacobs Elementary School,2010070,SCI,          10,23,           0,0,          10,23,          18,41,          16,36,          44,98,478.5,,,,2021
New Bedford - James B Congdon,2010040,ELA,          75,51,           5,3,          70,47,          63,43,          10,7,         148,100,498.1,29.8,          42,,2021
New Bedford - James B Congdon,2010040,MATH,          65,44,           3,2,          62,42,          68,46,          15,10,         148,100,494.9,46.9,          42,,2021
New Bedford - James B Congdon,2010040,SCI,          19,41,           1,2,          18,39,          26,57,           1,2,          46,100,498.7,,,,2021
New Bedford - Jireh Swift,2010130,ELA,          28,44,           1,2,          27,43,          29,46,           6,10,          63,100,494.4,37.7,          24,,2021
New Bedford - Jireh Swift,2010130,MATH,          14,22,           1,2,          13,21,          42,67,           7,11,          63,100,487.8,36.1,          24,,2021
New Bedford - Jireh Swift,2010130,SCI,           6,24,           0,0,           6,24,          16,64,           3,12,          25,100,487.4,,,,2021
New Bedford - John Avery Parker,2010115,ELA,          25,29,           3,3,          22,25,          42,48,          20,23,          87,98,487.5,29.9,          29,,2021
New Bedford - John Avery Parker,2010115,MATH,          14,16,           1,1,          13,15,          49,56,          24,28,          87,98,479.6,32.9,          29,,2021
New Bedford - John Avery Parker,2010115,SCI,           8,28,           0,0,           8,28,          13,45,           8,28,          29,100,484.6,,,,2021
New Bedford - John B Devalles,2010050,ELA,          48,28,           3,2,          45,26,         101,58,          25,14,         174,99,488.3,25.3,          46,,2021
New Bedford - John B Devalles,2010050,MATH,          32,18,           3,2,          29,17,          75,43,          67,39,         174,99,479.6,29.5,          46,,2021
New Bedford - John B Devalles,2010050,SCI,          12,21,           1,2,          11,20,          27,48,          17,30,          56,98,481.2,,,,2021
New Bedford - Keith Middle School,2010405,ELA,         212,25,          21,2,         191,22,         375,44,         270,32,         857,87,483.3,28.3,         781,,2021
New Bedford - Keith Middle School,2010405,MATH,         137,16,          16,2,         121,14,         422,50,         282,34,         841,85,480.3,22.8,         766,,2021
New Bedford - Keith Middle School,2010405,SCI,          38,23,           4,2,          34,21,          83,50,          44,27,         165,75,485.2,,,,2021
New Bedford - Normandin Middle School,2010410,ELA,         253,27,          25,3,         228,24,         428,45,         272,29,         953,88,485.8,29.5,         888,,2021
New Bedford - Normandin Middle School,2010410,MATH,         121,13,           3,0,         118,12,         537,56,         298,31,         956,88,478.9,18.9,         889,,2021
New Bedford - Normandin Middle School,2010410,SCI,          36,17,           1,0,          35,16,         112,52,          68,31,         216,76,480.4,,,,2021
New Bedford - Renaissance Community Innovation School,2010124,ELA,          22,23,           1,1,          21,22,          57,61,          15,16,          94,99,485.9,26.8,          36,,2021
New Bedford - Renaissance Community Innovation School,2010124,MATH,           7,7,           1,1,           6,6,          51,54,          37,39,          95,100,474.3,15.7,          36,,2021
New Bedford - Renaissance Community Innovation School,2010124,SCI,           5,13,           1,3,           4,10,          18,46,          16,41,          39,100,475.5,,,,2021
New Bedford - Roosevelt Middle School,2010415,ELA,         153,20,          17,2,         136,18,         301,40,         307,40,         761,91,479.1,24.6,         672,,2021
New Bedford - Roosevelt Middle School,2010415,MATH,          84,11,           4,1,          80,11,         344,45,         331,44,         759,90,475.0,16.6,         667,,2021
New Bedford - Roosevelt Middle School,2010415,SCI,          24,13,           0,0,          24,13,          76,43,          78,44,         178,78,477.0,,,,2021
New Bedford - Sgt Wm H Carney Academy,2010045,ELA,         101,34,          10,3,          91,31,         121,41,          75,25,         297,96,491.3,28.4,          97,,2021
New Bedford - Sgt Wm H Carney Academy,2010045,MATH,          54,18,           6,2,          48,16,         121,41,         119,40,         294,95,478.9,25.8,          99,,2021
New Bedford - Sgt Wm H Carney Academy,2010045,SCI,          30,28,           4,4,          26,24,          43,40,          35,32,         108,95,486.7,,,,2021
New Bedford - Thomas R Rodman,2010125,ELA,          28,39,           5,7,          23,32,          36,51,           7,10,          71,100,496.3,,          13,,2021
New Bedford - Thomas R Rodman,2010125,MATH,          25,35,           2,3,          23,32,          40,56,           6,8,          71,100,491.5,,          13,,2021
New Bedford - Thomas R Rodman,2010125,SCI,           5,36,           1,7,           4,29,           8,57,           1,7,          14,100,490.3,,,,2021
New Bedford - Trinity Day Academy,2010510,ELA,           5,13,           0,0,           5,13,          18,45,          17,43,          40,92,470.8,28.4,          37,,2021
New Bedford - Trinity Day Academy,2010510,MATH,           0,0,           0,0,           0,0,          21,51,          20,49,          41,94,467.5,31.9,          37,,2021
New Bedford - Trinity Day Academy,2010510,SCI,           3,15,           1,5,           2,10,          12,60,           5,25,          20,91,481.7,,,,2021
New Bedford - William H Taylor,2010135,ELA,          57,59,          12,13,          45,47,          31,32,           8,8,          96,100,503.3,31.0,          28,,2021
New Bedford - William H Taylor,2010135,MATH,          50,52,          13,14,          37,39,          36,38,          10,10,          96,100,501.2,24.2,          28,,2021
New Bedford - William H Taylor,2010135,SCI,          11,39,           2,7,           9,32,          16,57,           1,4,          28,100,498.3,,,,2021
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,ELA,          97,28,           5,1,          92,26,         165,47,          90,26,         352,98,485.8,37.0,         301,,2021
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,MATH,          46,13,           2,1,          44,12,         210,59,         102,28,         358,100,479.4,27.3,         308,,2021
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,SCI,          18,25,           0,0,          18,25,          38,52,          17,23,          73,100,483.9,,,,2021
New Salem-Wendell - Swift River,7280015,ELA,          29,48,           7,11,          22,36,          28,46,           4,7,          61,91,499.0,35.6,          27,,2021
New Salem-Wendell - Swift River,7280015,MATH,          28,51,           1,2,          27,49,          24,44,           3,5,          55,82,497.4,56.5,          20,,2021
New Salem-Wendell - Swift River,7280015,SCI,           5,33,           0,0,           5,33,           7,47,           3,20,          15,88,491.1,,,,2021
Newburyport - Edward G. Molin Elementary School,2040030,ELA,         173,61,          22,8,         151,53,         102,36,           8,3,         283,100,504.1,34.9,         135,,2021
Newburyport - Edward G. Molin Elementary School,2040030,MATH,         114,40,           6,2,         108,38,         146,52,          22,8,         282,99,495.2,28.5,         134,,2021
Newburyport - Edward G. Molin Elementary School,2040030,SCI,          67,48,           6,4,          61,43,          64,45,          10,7,         141,98,498.6,,,,2021
Newburyport - Francis T Bresnahan Elementary,2040005,ELA,          88,75,          17,14,          71,60,          27,23,           3,3,         118,97,508.8,,,,2021
Newburyport - Francis T Bresnahan Elementary,2040005,MATH,          61,52,           9,8,          52,44,          49,42,           8,7,         118,97,501.6,,,,2021
Newburyport - Rupert A Nock Middle,2040305,ELA,         261,55,          44,9,         217,46,         168,35,          45,9,         474,98,502.6,42.9,         451,,2021
Newburyport - Rupert A Nock Middle,2040305,MATH,         207,44,          16,3,         191,40,         215,45,          51,11,         473,98,495.9,39.4,         451,,2021
Newburyport - Rupert A Nock Middle,2040305,SCI,          75,53,           6,4,          69,49,          57,40,          10,7,         142,97,500.0,,,,2021
Newton - A E Angier,2070005,ELA,         180,76,          49,21,         131,55,          49,21,           8,3,         237,98,512.6,54.9,          72,,2021
Newton - A E Angier,2070005,MATH,         126,53,          28,12,          98,41,          89,38,          22,9,         237,98,500.9,43.4,          73,,2021
